Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006746,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006749,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006745,590
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006751,670.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006748,714.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006744,790
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006747,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006750,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006749,1399.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006748,3905.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,IRON MOUNTAIN LTD,1006751,4319.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,SITA UK LTD,1007042,513.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,SITA UK LTD,1007030,565.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,SITA UK LTD,1007016,649.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,SITA UK LTD,1007023,1508.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,SITA UK LTD,1007018,1913.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Refuse Disposals,Finance & Commercial Group - Information and Workplace Strategies,SITA UK LTD,1007022,4203.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Research & Development Expenditure (Programme),Strategic Policy Analysis - Strategic Policy Analysis,BLOOMBERG FINANCE L.P.,1006533,4352.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CALLUND CONSULTING LTD,1007366,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CARDIFF UNIVERSITY,1006584,-6000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CARDIFF UNIVERSITY,1006584,-1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CARDIFF UNIVERSITY,1006584,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CARDIFF UNIVERSITY,1006584,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CARDIFF UNIVERSITY,1006584,6000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CARDIFF UNIVERSITY,1006584,6000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1006708,2600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1006104,2666.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1006705,4900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,GHS ASSOCIATES LTD,1006932,2630.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Research & Development Expenditure (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,1006789,99000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Research & Development Expenditure (Programme),Universities and Skills Group - Skills Directorate,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,1007875,37450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,MET OFFICE,1006052,1867.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1006703,2695.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1006703,2828.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1007942,2407.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1006519,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1007863,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1007860,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,Name withheld - data protection,1007082,1600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,RAND EUROPE CAMBRIDGE LTD,1007720,24956
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,SUE HILL RECRUITMENT & SERVICES LTD,1006194,4403.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1006912,-4293.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1006589,1795
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1006912,4293.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1006912,4293.08
