Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,STOCKTON ON TEES BC,5000152890,"682,812.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,STOKE ON TRENT CITY COUNCIL,5000152892,"1,111,524.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK COUNTY CNCL,5000152902,"1,475,090.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK POLICE AUTHORITY,5000152907,"261,529.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUNDERLAND DC,5000152910,"1,374,961.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY COUNTY CNCL,5000152912,"1,113,221.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY POLICE AUTHORITY,5000152916,"317,763.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUSSEX POLICE AUTHORITY,5000152919,"628,548.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUTTON LB,5000152922,"476,057.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SWALE BC,5000152924,"105,956.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,SWINDON BC,5000152926,"442,255.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TAMESIDE MBC,5000152930,"921,224.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TEIGNBRIDGE DC,5000152941,"86,500.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TELFORD & WREKIN DC,5000152945,"615,930.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TENDRING DC,5000152947,"123,989.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,THAMES VALLEY POLICE AUTHORITY,5000152957,"839,215.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,THANET DC,5000152960,"116,223.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,THURROCK  BOROUGH COUNCIL,5000152966,"521,869.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TORBAY BC,5000152972,"515,117.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TORRIDGE DC,5000152976,"56,172.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TOWER HAMLETS LB,5000152978,"2,027,610.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TRAFFORD MBC,5000152983,"609,686.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,TYNE & WEAR FIRE AUTHORITY,5000152988,"310,595.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,W YORKSHIRE FIRE & RESCUE AUTH,5000153068,"502,004.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALSALL MBC,5000153001,"1,198,413.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALTHAM FOREST LB,5000153002,"1,073,703.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WANDSWORTH LB,5000153005,"1,311,587.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARRINGTON BC,5000153008,"471,881.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE COUNTY CNCL,5000153014,"804,147.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE POLICE AUTHORITY,5000153016,"191,684.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WAVENEY DISTRICT COUNCIL,5000153025,"102,162.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST DEVON BC,5000153041,"37,896.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST LANCASHIRE BC,5000153050,"83,473.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST LINDSEY DC,5000153052,"71,816.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MERCIA POLICE AUTH,5000153055,"480,766.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,5000153056,"705,660.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS POLICE AUTH,5000153059,"2,059,667.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST SOMERSET DC,5000153063,"28,817.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST SUSSEX CC,5000153067,"861,788.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST YORKSHIRE POLICE AUTHORITY,5000153070,"1,413,497.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WESTMINSTER CITY CNCL,5000153076,"1,584,750.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEYMOUTH & PORTLAND BC,5000153082,"52,750.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WIGAN MBC,5000153084,"1,162,066.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WILTSHIRE & SWINDON FIRE AUTHORITY,5000153088,"83,712.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WILTSHIRE COUNCIL,5000153157,"894,529.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WILTSHIRE POLICE,5000153090,"236,139.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WIRRAL MBC,5000153099,"1,378,442.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WOLVERHAMPTON MBC,5000153107,"1,258,226.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WORCESTERSHIRE COUNTY COUNCIL,5000153113,"787,270.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,WYRE BC,5000153127,"91,143.00",Yes
Communities & Local Government,DCLG,22/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,YORK CITY CNCL,5000152110,"389,191.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ADUR DC,5000151908,"-143,506.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ALLERDALE BOROUGH COUNCIL,5000151911,"-205,035.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,AMBER VALLEY BC,5000151912,"-260,251.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ARUN DC,5000151916,"-279,015.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ASHFIELD DC,5000151918,"-284,843.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BARKING & DAGENHAM LB,5000151935,"-505,288.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BARNET LBC,5000151939,"-982,638.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BARNSLEY MBC,5000151941,"-457,716.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BARROW BC,5000151945,"-212,682.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BASSETLAW DC,5000151952,"-371,725.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BATH & NORTH EAST SOMERSET DC,5000151955,"-509,853.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BEDFORD BOROUGH COUNCIL,5000153160,"-582,833.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BEXLEY LB,5000151964,"-582,889.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BEXLEY LB,5000151966,"-22,884.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BIRMINGHAM CITY CNCL,5000151968,"-3,898,633.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BLACKBURN WITH DARWEN BC,5000151975,"-403,504.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BLACKPOOL BC,5000151980,"-19,384.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BLACKPOOL BC,5000151981,"-421,533.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BOLSOVER DC,5000151983,"-190,533.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BOLTON MBC,5000151987,"-838,228.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BOSTON BC,5000151988,"-4,227.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BOSTON BC,5000151990,"-170,128.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BOURNEMOUTH DC,5000151992,"-617,139.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRACKNELL FOREST DC,5000151996,"-513,869.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRADFORD MBC,5000151998,"-1,304,248.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRECKLAND DC,5000152005,"-250,122.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,5000152008,"-36,029.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,5000152009,"-936,006.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRIGHTON & HOVE CITY COUNCIL,5000152015,"-944,347.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BRISTOL CITY CNCL,5000152018,"-1,856,087.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BROADLAND DC,5000152020,"-264,612.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BROMLEY LB,5000152023,"-789,832.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BROXTOWE BC,5000152035,"-231,050.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BURNLEY BC,5000152039,"-244,598.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BURNLEY BC,5000152040,"-6,993.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,BURY MBC,5000152045,"-441,002.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CALDERDALE MBC,5000152046,"-528,385.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CAMDEN LONDON BOROUGH,5000152058,"-3,647,547.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CASTLE POINT BC,5000152070,"-131,812.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CENTRAL BEDFORDSHIRE COUNCIL,5000153135,"-749,161.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CHESHIRE EAST COUNCIL,5000153139,"-1,252,081.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CHESHIRE WEST AND CHESTER,5000153140,"-1,401,715.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CHESTERFIELD BC,5000152091,"-317,758.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CHORLEY DC,5000152100,"-231,161.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CITY OF WAKEFIELD MDC,5000152996,"-1,090,027.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,COPELAND BC,5000152120,"841,973.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,COPELAND BC,5000152123,"-1,164,822.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,COPELAND BC,5000152124,"1,232,616.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CORNWALL COUNCIL,5000153143,"-1,318,112.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CORNWALL COUNCIL,5000153145,"-2,805.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,COVENTRY CITY CNCL,5000152132,"2,348,169.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,COVENTRY CITY CNCL,5000152134,"-4,262,120.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,COVENTRY CITY CNCL,5000152135,"4,510,180.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,CROYDON LB,5000152144,"-1,072,237.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DARLINGTON BC,5000152155,"-318,125.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DERBY CITY CNCL,5000152166,"-820,714.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DONCASTER MBC,5000152183,"-748,254.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DONCASTER MBC,5000152185,"-29,152.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DOVER DC,5000152193,"-299,594.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DUDLEY MBC,5000152195,"-920,779.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DURHAM COUNTY COUNCIL,5000153147,"-988,577.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,DURHAM COUNTY COUNCIL,5000153149,"-48,507.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EALING LB,5000152202,"-1,123,395.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EAST CAMBRIDGESHIRE DC,5000152205,"-159,226.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EAST LINDSEY DC,5000152221,"-311,295.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EAST NORTHAMPTONSHIRE COUNCIL,5000152223,"-6,924.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EAST NORTHAMPTONSHIRE COUNCIL,5000152224,"-198,234.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EAST RIDING OF YORKS,5000152227,"-790,446.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EASTBOURNE BC,5000152239,"-286,597.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ENFIELD LB,5000152251,"-942,279.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,EREWASH BC,5000152259,"-235,198.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,FENLAND DC,5000152276,"-205,419.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,FOREST HEATH DISTRICT COUNCIL,5000152279,"-185,302.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,FOREST OF DEAN DC,5000152281,"-4,786.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,FOREST OF DEAN DC,5000152283,"-97,408.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,GATESHEAD MBC,5000152288,"-758,246.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,GEDLING BC,5000152292,"-201,832.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,GOSPORT BOROUGH COUNCIL,5000152305,"-146,241.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,GRAVESHAM BC,5000152306,"-201,030.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,GREAT YARMOUTH BC,5000152309,"-266,637.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,GREENWICH LB,5000152313,"-553,488.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HALTON BC,5000152323,"-429,887.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HAMMERSMITH & FULHAM LB,5000152328,"-1,594,912.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HARINGEY LB,5000152339,"-565,058.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HARROW LB,5000152351,"-448,599.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HARTLEPOOL BOROUGH COUNCIL,5000152357,"-264,951.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HASTINGS BC,5000152360,"-180,890.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HAVANT BC,5000152361,"-15,204.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HAVANT BC,5000152362,"-267,461.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HAVERING LB,5000152365,"-675,143.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HEREFORDSHIRE DISTRICT COUNCIL,5000152371,"-421,610.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HEREFORDSHIRE DISTRICT COUNCIL,5000152373,"-16,713.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HIGH PEAK BC,5000152381,"-220,479.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HOUNSLOW LB,5000152394,"-1,418,060.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HULL CITY COUNCIL,5000152442,"-871,783.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,HYNDBURN BC,5000152407,"-195,932.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ISLE OF WIGHT CNCL,5000152409,"-304,624.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ISLES OF SCILLY COUNCIL,5000152416,"-16,226.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ISLINGTON LB,5000152417,"-1,532,049.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ISLINGTON LB,5000152418,"-77,030.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,ISLINGTON LB,5000152421,"-48,467.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,KINGS LYNN & WEST NORFOLK BC,5000152440,"-357,742.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,KINGSTON UPON THAMES,5000152445,"-736,642.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,KIRKLEES MBC,5000152448,"-27,276.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,KIRKLEES MBC,5000152449,"-932,248.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,KNOWSLEY MBC,5000152451,"-367,907.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LANCASTER CITY CNCL,5000152464,"-325,772.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LANCASTER CITY CNCL,5000152466,"-7,135.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LEEDS CITY CNCL,5000152467,"-153,667.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LEEDS CITY CNCL,5000152468,"-3,107,393.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LEICESTER CITY CNCL,5000152471,"-1,010,488.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LEWISHAM LB,5000152484,"-464,468.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LIVERPOOL CITY COUNCIL,5000152499,"-1,712,351.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF HACKNEY,5000152321,"-681,545.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF LAMBETH,5000152455,"-989,585.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF NEWHAM,5000152581,"-806,370.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF REDBRIDGE,5000152695,"-489,822.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,LUTON BC,5000152502,"-617,267.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MALDON DC,5000152508,"-1,240.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MALDON DC,5000152509,"-4,929.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MALDON DC,5000152510,"-113,899.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MALVERN HILLS DC,5000152511,"-136,571.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MALVERN HILLS DC,5000152512,"-5,542.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MANCHESTER CITY CNCL,5000152515,"-2,800,353.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MANSFIELD DC,5000152523,"-275,232.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MEDWAY COUNCIL,5000152526,"-693,070.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MELTON BC,5000152530,"-118,146.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MERTON LB,5000152539,"-737,214.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MID DEVON DC,5000152542,"-122,710.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MID SUFFOLK DC,5000152545,"-185,158.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MIDDLESBROUGH BC,5000152552,"-379,979.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MIDDLESBROUGH BC,5000152553,"-12,526.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MILTON KEYNES BC,5000152557,"-1,353,539.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,MILTON KEYNES BC,5000152559,"-69,890.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,NEWARK & SHERWOOD DC,5000152570,"-295,915.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,NEWCASTLE UNDER LYME BC,5000152577,"-300,608.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,NEWCASTLE UPON TYNE DC,5000152573,"-1,302,720.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,NORTH DORSET DC,5000152592,"-133,238.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,NORTH EAST DERBYSHIRE DC,5000152565,"-135,212.00",Yes
Communities & Local Government,DCLG,22/02/2011,NNDR Billing Authorities Receipts,Treasury,NORTH EAST LINCOLN DC,5000152594,"-619,080.00",Yes
