Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON BOROUGH OF LAMBETH,,,,5000169841,Grant Payable by Exchequer,"246,263.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON BOROUGH OF NEWHAM,,,,5000169857,Grant Payable by Exchequer,"178,824.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON BOROUGH OF REDBRIDGE,,,,5000169879,Grant Payable by Exchequer,"248,860.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON FIRE & EMERG PLANNING AUTH,,Large,,5000169563,Grant Payable by Exchequer,"2,425,002.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON FIRE & EMERG PLANNING AUTH,,Large,,5000169565,Grant Payable by Exchequer,"60,911,111.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LUTON BC,,,,5000169849,Grant Payable by Exchequer,"157,365.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MAIDSTONE BC,,,,5000169667,Grant Payable by Exchequer,"33,527.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MALDON DC,,,,5000169669,Grant Payable by Exchequer,"10,565.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MALVERN HILLS DC,,,,5000169850,Grant Payable by Exchequer,"10,100.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MANCHESTER CITY CNCL (HSG),,,,5000169670,Grant Payable by Exchequer,"350,218.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MANSFIELD DC,,,,5000169851,Grant Payable by Exchequer,"14,601.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MEDWAY TOWNS D C (HSG),,,,5000169671,Grant Payable by Exchequer,"246,307.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MELTON BC,,,,5000169672,Grant Payable by Exchequer,"8,417.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MENDIP DISTRICT COUNCIL,,,,5000169673,Grant Payable by Exchequer,"15,020.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000168934,Grant Payable by Exchequer,"95,242.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000169959,Grant Payable by Exchequer,"13,250,400.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000169960,Grant Payable by Exchequer,"68,105.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000169961,Grant Payable by Exchequer,"5,461,670.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE POLICE AUTHORITY,,,,5000169646,Grant Payable by Exchequer,"153,759.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MERTON LB,,,,5000169852,Grant Payable by Exchequer,"206,060.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MID DEVON DC,,,,5000169674,Grant Payable by Exchequer,"12,879.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MID SUFFOLK DC,,,,5000169675,Grant Payable by Exchequer,"13,528.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MID SUSSEX DC,,,,5000169676,Grant Payable by Exchequer,"21,457.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MIDDLESBROUGH BC,,,,5000169853,Grant Payable by Exchequer,"125,280.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MILTON KEYNES BC,,,,5000169854,Grant Payable by Exchequer,"231,267.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,MOLE VALLEY DC,,,,5000169677,Grant Payable by Exchequer,"15,408.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NEW FOREST DC,,,,5000169678,Grant Payable by Exchequer,"28,445.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NEWARK & SHERWOOD DC (HSG),,,,5000169679,Grant Payable by Exchequer,"16,194.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NEWCASTLE UNDER LYME BC,,,,5000169855,Grant Payable by Exchequer,"17,278.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NEWCASTLE UPON TYNE DC,,,,5000169856,Grant Payable by Exchequer,"264,982.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK COUNTY COUNCIL,,,,5000169858,Grant Payable by Exchequer,"855,326.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK COUNTY COUNCIL,,,,5000168973,Grant Payable by Exchequer,"82,114.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK COUNTY COUNCIL,,,,5000169601,Grant Payable by Exchequer,"2,394,585.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK COUNTY COUNCIL,,,,5000169603,Grant Payable by Exchequer,"8,457.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK POLICE AUTHORITY (RSG),,,,5000169963,Grant Payable by Exchequer,"142,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH DEVON DC,,,,5000169680,Grant Payable by Exchequer,"14,322.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH DORSET DC,,,,5000169681,Grant Payable by Exchequer,"7,127.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH EAST DERBYSHIRE DC,,,,5000169859,Grant Payable by Exchequer,"14,102.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH EAST LINCOLN DC (HSG),,,,5000169682,Grant Payable by Exchequer,"148,531.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH HERTS DC (HOUSING) (HSG),,,,5000169683,Grant Payable by Exchequer,"24,713.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH KESTEVEN DC,,,,5000169860,Grant Payable by Exchequer,"12,772.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH LINCOLNSHIRE DC (HSG),,,,5000169684,Grant Payable by Exchequer,"165,720.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH NORFOLK DC,,,,5000169685,Grant Payable by Exchequer,"14,314.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH SOMERSET DC,,,,5000169861,Grant Payable by Exchequer,"225,549.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH TYNESIDE MBC,,,,5000169862,Grant Payable by Exchequer,"212,978.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH WARWICKSHIRE BC,,Large,,5000169686,Grant Payable by Exchequer,"11,174.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH WEST LEICESTER DC,,,,5000169687,Grant Payable by Exchequer,"14,160.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE CC (DL7 8AL),,,,5000169863,Grant Payable by Exchequer,"614,884.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,Large,,5000168962,Grant Payable by Exchequer,"6,144.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,Large,,5000169529,Grant Payable by Exchequer,"2,410,400.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,Large,,5000169530,Grant Payable by Exchequer,"614,714.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,Large,,5000169531,Grant Payable by Exchequer,"46,517.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE POLICE AUTHORITY,,,,5000169650,Grant Payable by Exchequer,"153,222.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTON BOROUGH COUNCIL,,,,5000169864,Grant Payable by Exchequer,"35,064.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE CC,,,,5000168974,Grant Payable by Exchequer,"15,882.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE CC,,,,5000169605,Grant Payable by Exchequer,"373,102.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE CC,,,,5000169607,Grant Payable by Exchequer,"801,277.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE COUNTY COUNCIL,,,,5000169865,Grant Payable by Exchequer,"602,138.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE POLICE AUTH,,,,5000169648,Grant Payable by Exchequer,"113,153.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBERLAND COUNTY COUNCIL,,,,5000169537,Grant Payable by Exchequer,"374,948.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBERLAND FIRE & RESCUE SERV,,,,5000168966,Grant Payable by Exchequer,"10,516.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBERLAND FIRE & RESCUE SERV,,,,5000169569,Grant Payable by Exchequer,"963,214.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBERLAND FIRE & RESCUE SERV,,,,5000169571,Grant Payable by Exchequer,"1,983,373.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBRIA POLICE AUTH (RSG),,,,5000169964,Grant Payable by Exchequer,"91,192.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NORWICH CITY CNCL,,,,5000169866,Grant Payable by Exchequer,"23,020.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTINGHAM CITY COUNCIL,,,,5000169867,Grant Payable by Exchequer,"251,068.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTINGHAMSHIRE COUNTY CNCL,,,,5000169868,Grant Payable by Exchequer,"767,860.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTINGHAMSHIRE POLICE AU (RSG),,,,5000169965,Grant Payable by Exchequer,"133,210.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,Large,,5000168949,Grant Payable by Exchequer,"20,094.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,Large,,5000170014,Grant Payable by Exchequer,"6,470,545.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,Large,,5000170015,Grant Payable by Exchequer,"1,324,886.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,Large,,5000170016,Grant Payable by Exchequer,"57,982.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,NUNEATON & BEDWORTH BC,,,,5000169869,Grant Payable by Exchequer,"20,071.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OADBY & WIGSTON BC (HSG),,,,5000169688,Grant Payable by Exchequer,"9,088.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OLDHAM MBC,,,,5000169870,Grant Payable by Exchequer,"211,991.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORD CITY COUNCIL,,,,5000169871,Grant Payable by Exchequer,"30,887.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORDSHIRE CC,,,,5000169872,Grant Payable by Exchequer,"706,684.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORDSHIRE CC,,,,5000168975,Grant Payable by Exchequer,"12,696.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORDSHIRE CC,,,,5000169608,Grant Payable by Exchequer,"195,997.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORDSHIRE CC,,,,5000169610,Grant Payable by Exchequer,"1,499,179.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,PENDLE BC,,,,5000169873,Grant Payable by Exchequer,"15,760.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,PETERBOROUGH CITY CNCL,,,,5000169874,Grant Payable by Exchequer,"153,320.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,PLYMOUTH CITY CNCL,,,,5000169875,Grant Payable by Exchequer,"239,805.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,POOLE BC (HSG),,,,5000169689,Grant Payable by Exchequer,"177,887.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,PORTSMOUTH CITY COUNCIL,,,,5000169876,Grant Payable by Exchequer,"172,124.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,PRESTON BC,,,,5000169877,Grant Payable by Exchequer,"26,114.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,PURBECK DC,,,,5000169690,Grant Payable by Exchequer,"8,089.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,READING BC,,,,5000169878,Grant Payable by Exchequer,"172,068.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000169880,Grant Payable by Exchequer,"141,169.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,REDDITCH BC,,,,5000169881,Grant Payable by Exchequer,"14,417.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,REIGATE & BANSTEAD BC,,,,5000169882,Grant Payable by Exchequer,"28,587.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,RIBBLE VALLEY BC,,,,5000169691,Grant Payable by Exchequer,"7,866.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,RICHMOND UPON THAMES LB,,,,5000169883,Grant Payable by Exchequer,"287,381.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,RICHMONDSHIRE DC,,,,5000169692,Grant Payable by Exchequer,"9,143.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ROCHDALE MBC,,,,5000169884,Grant Payable by Exchequer,"197,177.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ROCHFORD DISTRICT COUNCIL,,,,5000169885,Grant Payable by Exchequer,"15,783.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ROSSENDALE BC,,,,5000169886,Grant Payable by Exchequer,"13,756.00",Yes
